fps,exposure,exposure_actual,mean,std,shot
30,6.01e-05,5.999999848427251e-05,1.3576388888888888,0.6378217990759983,0.6109532624422992
30,0.0001202,0.00011999999696854502,1.40625,0.6678862542462685,0.6594663246393506
30,0.000601,0.0006000000284984708,1.375,0.6222160217945033,0.6137883276106765
30,0.001202,0.0012009999481961131,1.390625,0.6885842145199896,0.6130807903984234
30,0.00601,0.006010000128298998,1.3506944444444444,0.6111801570842924,0.6380580346297314
30,0.01202,0.012020000256597996,1.4444444444444444,0.6949997779553779,0.6890764753558845
30,0.0601,0.060100000351667404,1.4270833333333333,0.7008644216251814,0.6757197808427856
30,0.1202,0.12020000070333481,1.4357638888888888,0.7188233825931474,0.7471008782100461
30,0.42069999999999996,0.4207000136375427,1.7048611111111112,1.0390186249206983,0.855943274340589
30,0.45,0.44999900460243225,1.7204861111111112,1.2261603517242075,0.8819171036881969
30,0.5,0.5,1.7430555555555556,1.1681331722131219,0.8675276172357089
30,0.55,0.550000011920929,2.217013888888889,3.717888734039252,0.9363418772601764
30,0.6,0.6000000238418579,2.142361111111111,3.7791290858313564,1.0785149254620654
30,0.65,0.6499990224838257,2.3020833333333335,3.708435742967946,0.9428090415820634
30,0.7,0.6999989748001099,2.329861111111111,3.6092392985285984,0.9978275012356705
30,0.75,0.75,2.3541666666666665,3.9250243275962275,1.0437479208229459
30,0.8,0.800000011920929,2.373263888888889,4.0651696920063625,1.0837339003033295
30,0.85,0.8500000238418579,2.4600694444444446,3.6029216532727872,1.0813282726967484
30,0.85,0.8500000238418579,2.46875,3.6174340343751337,1.0952866190079096
30,1.25,1.25,2.9149305555555554,4.21736481317418,1.1818212169735696
30,2.0,2.0,3.6684027777777777,4.678123015578062,1.3491895715576814
30,3.5,3.5,5.970486111111111,6.823480989879838,1.4148272371958037
30,5.0,5.0,7.925347222222222,9.218018090583548,1.7192234196481464
5,6.01e-05,5.999999848427251e-05,1.4791666666666667,0.8796996804465589,0.6821127309893709
5,0.0001202,0.00011999999696854502,1.4427083333333333,0.8313615996514393,0.6548430685625712
5,0.000601,0.0006000000284984708,1.4618055555555556,0.9383419573151488,0.7258854745910144
5,0.001202,0.0012009999481961131,1.3871527777777777,0.8298520309824019,0.6548430685625712
5,0.00601,0.006010000128298998,1.4288194444444444,0.8908111133242071,0.6428020258558963
5,0.01202,0.012020000256597996,1.4930555555555556,0.9223048406767702,0.7222889926399881
5,0.0601,0.060100000351667404,1.5277777777777777,0.9009597077903808,0.6802011548881045
5,0.1202,0.12020000070333481,1.5850694444444444,0.9893807663043711,0.7551903733496608
5,0.42069999999999996,0.4207000136375427,1.8055555555555556,1.3808098357373966,0.9293628342998109
5,0.45,0.44999900460243225,1.8680555555555556,1.3552702056220796,0.9260879487872028
5,0.5,0.5,1.9201388888888888,1.4850682672818964,0.9330914865232788
5,0.55,0.550000011920929,2.1805555555555554,3.682075157996616,0.9195031871130797
5,0.6,0.6000000238418579,2.0052083333333335,3.759475153371737,0.9614983966011938
5,0.65,0.6499990224838257,2.3020833333333335,3.723852708292254,0.9943416303151437
5,0.7,0.6999989748001099,2.2708333333333335,3.5098447852671018,1.1137555337186382
5,0.75,0.75,2.4878472222222223,3.915317793117615,1.070436048222094
5,0.8,0.800000011920929,2.3663194444444446,3.5491848137846653,1.0370732053878036
5,0.85,0.8500000238418579,2.4270833333333335,3.688603295399674,1.0956828160253922
5,0.85,0.8500000238418579,2.4288194444444446,3.64460255349678,1.0261341963353958
5,1.25,1.25,3.0086805555555554,4.665728439394804,1.2342761036332186
5,2.0,2.0,3.7934027777777777,5.112011816300143,1.368989387995555
5,3.5,3.5,5.927083333333333,7.225646056755062,1.4062114192238504
5,5.0,5.0,7.765625,9.050529390497767,1.6562172428626492
2,6.01e-05,5.999999848427251e-05,1.5416666666666667,1.3987841942995434,0.7300589778306347
2,0.0001202,0.00011999999696854502,1.4722222222222223,1.497425774660395,0.7150417625721047
2,0.000601,0.0006000000284984708,1.5138888888888888,1.4576718076320994,0.7400966528471505
2,0.001202,0.0012009999481961131,1.5086805555555556,1.551184917395488,0.6744339190099435
