fps,exposure,exposure_actual,mean,std,shot
30,6.01e-05,5.999999848427251e-05,1.4878472222222223,0.7358797297513708,0.7347996703561832
30,0.0001202,0.00011999999696854502,1.484375,0.7215186710739601,0.705878097754059
30,0.000601,0.0006000000284984708,1.4149305555555556,0.7190749232016572,0.7138267374588256
30,0.001202,0.0012009999481961131,1.4826388888888888,0.7044333677494028,0.6884463184107628
30,0.00601,0.006010000128298998,1.4982638888888888,0.7192760923521099,0.689706056551952
30,0.01202,0.012020000256597996,1.5017361111111112,0.7240873852469503,0.7198813559654581
30,0.0601,0.060100000351667404,1.5989583333333333,0.8253359743075005,0.7441904624788229
30,0.1202,0.12020000070333481,1.6006944444444444,0.9843918404399191,0.789470638395684
30,0.42069999999999996,0.4207000136375427,1.921875,2.4711826534267396,0.9071475440448851
30,0.45,0.44999900460243225,1.9149305555555556,2.517587992649517,0.8745038275756398
30,0.5,0.5,1.96875,2.7517158472790513,0.8690272339422588
30,0.55,0.550000011920929,1.0,0.0,0.0
30,0.6,0.6000000238418579,1.0,0.0,0.0
30,0.65,0.6499990224838257,1.0,0.0,0.0
30,0.7,0.6999989748001099,2.220486111111111,4.294497097362105,1.0137937550497031
30,0.75,0.75,2.2447916666666665,4.0048764491884,0.9925941041309663
30,0.8,0.800000011920929,2.2916666666666665,4.806498783475926,1.015077309589986
30,0.85,0.8500000238418579,2.4270833333333335,4.935862509762379,1.0639287779003088
30,0.85,0.8500000238418579,2.532986111111111,4.67955312738613,1.0752906583803283
30,1.25,1.25,2.8246527777777777,6.942133078888094,1.1774059292453993
30,2.0,2.0,3.7916666666666665,10.984284860148563,1.2548516955312996
30,3.5,3.5,5.8125,19.017798224441112,1.492748676472738
30,5.0,5.0,7.970486111111111,26.618592677911902,1.7746282865872378
5,6.01e-05,5.999999848427251e-05,1.5086805555555556,0.7240374323961452,0.7150417625721047
5,0.0001202,0.00011999999696854502,1.4079861111111112,0.7325792333532477,0.7359800721939872
5,0.000601,0.0006000000284984708,1.5017361111111112,0.7927604985999441,0.7371585838730889
5,0.001202,0.0012009999481961131,1.40625,0.6858408008908967,0.6428020258558963
5,0.00601,0.006010000128298998,1.46875,0.7376735906814672,0.7027969913930416
5,0.01202,0.012020000256597996,1.484375,0.7405180419720448,0.6965938957208537
5,0.0601,0.060100000351667404,1.5798611111111112,0.8643462414763663,0.7494210728585395
5,0.1202,0.12020000070333481,1.5642361111111112,1.0537822618371664,0.7767229950961354
5,0.42069999999999996,0.4207000136375427,1.9166666666666667,2.1874007914011147,0.9418878796214429
5,0.45,0.44999900460243225,1.9947916666666667,2.6447617170419258,0.9013878188659973
5,0.5,0.5,2.048611111111111,3.1679380366921617,1.0487260790544348
5,0.55,0.550000011920929,1.0,0.0,0.0
5,0.6,0.6000000238418579,1.0,0.0,0.0
5,0.65,0.6499990224838257,1.0,0.0,0.0
5,0.7,0.6999989748001099,2.1961805555555554,4.2276437317914155,0.9418878796214429
5,0.75,0.75,2.282986111111111,4.05322086944121,1.0901229543292608
5,0.8,0.800000011920929,2.3229166666666665,4.959547732936722,1.0328796046867117
5,0.85,0.8500000238418579,2.314236111111111,4.419048741254715,1.0090734198593612
5,0.85,0.8500000238418579,2.3836805555555554,4.784633715013526,1.1176457150834715
5,1.25,1.25,2.84375,6.713369938972527,1.2747548783981961
5,2.0,2.0,3.9791666666666665,11.282649382274242,1.3215626272628087
5,3.5,3.5,5.798611111111111,19.00834241601095,1.4944922028717462
5,5.0,5.0,7.951388888888889,27.103858853263947,1.6690087710308108
2,6.01e-05,5.999999848427251e-05,1.5416666666666667,0.8829008375173788,0.7027969913930416
2,0.0001202,0.00011999999696854502,1.53125,0.857399876726788,0.7174656399051068
2,0.000601,0.0006000000284984708,1.5208333333333333,0.8475352336169998,0.7494210728585395
2,0.001202,0.0012009999481961131,1.5416666666666667,0.9138213416442211,0.7580585582775105
2,0.00601,0.006010000128298998,1.5347222222222223,0.834692179159849,0.7453559924999299
2,0.01202,0.012020000256597996,1.4305555555555556,0.8135380358670818,0.673145600891813
2,0.0601,0.060100000351667404,1.6753472222222223,1.0327030424479116,0.8068715304598785
2,0.1202,0.12020000070333481,1.6423611111111112,1.049409877893756,0.7643306803268392
2,0.42069999999999996,0.4207000136375427,1.9201388888888888,2.569291943672612,0.8784653600961673
2,0.45,0.44999900460243225,1.984375,2.429870315112288,0.9109671295448103
2,0.5,0.5,2.0815972222222223,2.7453132191251686,0.9455671431591848
2,0.55,0.550000011920929,1.0,0.0,0.0
2,0.6,0.6000000238418579,1.0,0.0,0.0
2,0.65,0.6499990224838257,1.0,0.0,0.0
2,0.7,0.6999989748001099,2.107638888888889,3.964540394076649,0.9128709291752769
2,0.75,0.75,2.3090277777777777,4.858946690762601,1.0692189516963617
2,0.8,0.800000011920929,2.2534722222222223,4.556930210533494,0.9660019266141358
2,0.85,0.8500000238418579,2.3211805555555554,4.674394939533139,1.0353978033157647
2,0.85,0.8500000238418579,2.310763888888889,4.717611298201476,1.0606601717798212
2,1.25,1.25,3.03125,7.126758737614644,1.1043631900582143
2,2.0,2.0,3.876736111111111,11.294683504115573,1.2950225223266711
2,3.5,3.5,6.145833333333333,20.129948925667943,1.5975241260567346
2,5.0,5.0,8.135416666666666,27.733398359173567,1.6684885875146604
1,6.01e-05,5.999999848427251e-05,1.4079861111111112,1.0697248347258848,0.6166103577895309
1,0.0001202,0.00011999999696854502,1.40625,1.058150820876789,0.7009418267191967
1,0.000601,0.0006000000284984708,1.5677083333333333,1.1912290681092086,0.6884463184107628
